"Program","DOESchool Code","SCHOOL","Address","Neighborhood","School Grade","Grades","% Attendance Rate","% Individualized Education Program","Peer Index ** (1.00-4.50)","SURR","School District","City Council District","Congressional District","Senate District","Assembly District","% Free Lunch","% Reduced Price Lunch","% English Language Learners","Title I","Supplemental Education Service Eligible","Urban Arts Partnership","Cultural & Arts Partners","Interest Areas"
"New York",,,,,,,,,,,,,,,,,,,,,,,
"Stage Doors","M479","Beacon High School","227 West 61st Street, New York, New York, 10023","Upper West Side","A","9 to 12",95.8,5,3.47,,3,6,8,29,67,18,4,0.2,,,,"American Museum of Natural History, Joyce Theatre, TDF, Kaufman Foundation, New Museum, Lincoln Center for the Performing Arts, New York City Center, MoMA","Humanities & Interdisciplinary"
"Stage Doors","M685","Bread and Roses High School","6 Edgecombe Ave., New York, New York, 10030","Harlem","D","9 to 12",78.4,19.7,1.72,,5,9,15,30,70,70,3,17.6,"Yes","Yes",,"Undiclosed","Integrated Arts"
"RAP","M293","City College Academy of the Arts","4600 Broadway, New York, New York, 10040","Inwood","N/A","6 to 12",92.7,11.9,2.81,,6,10,15,31,72,72,8,6.1,"Yes","Yes",,"MoMA, Aaron Davis Hall, TDF, Jazz at Lincoln Center, Uptown Dance Academy, ABADA-Capoeira NYC","Humanities & Interdisciplinary"
"Stage Doors","M293","City College Academy of the Arts","4600 Broadway, New York, New York, 10040","Inwood","N/A","6 to 12",92.7,11.9,2.81,,6,10,15,31,72,72,8,6.1,"Yes","Yes",,"MoMA, Aaron Davis Hall, TDF, Jazz at Lincoln Center, Uptown Dance Academy, ABADA-Capoeira NYC","Humanities & Interdisciplinary"
"Stage Doors",,"George Jackson Academy","104 St. Mark's Place, New York, New York, 10009","East Village","Independent Upper Elementary and Middle School",,,,,,,,,,,,,,,,,,
"Stage Doors","M374","Gramercy Arts High School","40 Irving Place, Manhattan, New York, 10003","Gramercy Park","C","9 to 12",81.9,12.4,2.44,,2,2,14,29,74,59,7,3,"Yes",,,"TDF, Gina Gibney Dance, Battery Dance, Penticle, New York City Center, Greenwich Village Orchestra, Vineyard Theatre, Center for Arts Education, Lincoln Center, Roundabout, MTC","Humanities & Interdisciplinary, Performing Arts, Visual Art & Design"
"Open Doors","M586","Harvey Milk High School","2 Astor Place, 3rd Floor, New York, New York, 10003","NoHo","A","9 to 12",,,,,2,2,8,29,66,76,9,1.5,"Yes","Yes",,"Undisclosed","Humanities & Interdisciplinary"
"Stage Doors","M680","Heritage School","1680 Lexington Ave, New York, New York, 10029","East Harlem","B","9 to 12",84.6,23.1,1.93,,4,8,15,28,68,78,1,6.8,"Yes","Yes","Yes","Taller Boricua, Studio Museum in Harlem, Lincoln Center Institute, Museo del Barrio, The Jewish Museum, Working Playground","Visual Art & Design"
"Stage Doors",,"High School of Graphic Communication Arts - Closing at the end of the 2011-2012 year. Relocation to New High School (M536)","439 W. 49th St., New York, New York, 10019","Clinton","F","9 to 12",,,,"SURR- Identified 1/05",2,3,8,29,75,,,,"Yes","Yes",,"The Jewish Museum, Harlem Live, Manhattan Neighborhood Network, Lena Jang Photography","Photography, Commercial Art, Media & Journalism"
"Stage Doors","M485","LaGuardia H.S. of Music, Arts, & Performing Arts","100 Amsterdam Avenue, New York, New York, 10023","Upper West Side","A","9 to 12",95.2,1.2,3.63,,3,6,8,29,67,22,8,0.2,"No",,,"Lincoln Center for the Performing Arts, American Ballet Theatre, Carnegie Hall, New York Philharmonic, New York City Opera, Interschool Orchestras of NY, New York Youth Symphony","Performing Arts, Visual Art & Design"
"Stage Doors","M419","Landmark High School","351 West 18th St. 5th Floor, New York, New York, 10011","Meatpacking District","D","9 to 12",77.2,16.1,2.05,,2,3,8,29,75,80,3,15.7,"Yes","Yes",,"Midori Foundation, Lincoln Center Institute, Intrepid Museum, TDF, Art for Progress","Humanities & Interdisciplinary"
"Stage Doors","M419","Landmark High School","351 West 18th St. 5th Floor, New York, New York, 10011","Meatpacking District","D","9 to 12",77.2,16.1,2.05,,2,3,8,29,75,80,3,15.7,"Yes","Yes",,"Midori Foundation, Lincoln Center Institute, Intrepid Museum, TDF, Art for Progress","Humanities & Interdisciplinary"
"Open Doors","M425","Leadership and Public Service High School","90 Trinity Pl., New York, New York, 10006","Financial District","C","9 to12",87.9,17.2,2.11,,2,1,8,25,64,74,3,5.4,"Yes",,,"TDF","Humanities & Interdisciplinary"
"Stage Doors","M283","Manhattan Theatre Lab High School","122 Amsterdam Avenue, New York, New York, 10023","Upper West Side","F","9 to 12",80.9,17,1.91,,3,6,8,29,67,58,3,8.6,"Yes","Yes",,"New York City Ballet, Apollo Theatre, Frederick Douglas Center for Creative Studies, TDF, Classical Theatre of Harlem","Humanities & Interdisciplinary"
"Stage Doors","M418","Millennium High School","75 Broad Street, New York, New York, 10004","Bowling Green","A","9 to 12",95.5,9.6,3.26,,2,1,8,25,64,56,14,0.2,"Yes",,,"American Globe Theatre, Battery Dance, Epic Theatre, TDF, Tribeca Film Festival","Humanities & Interdisciplinary"
"Open Doors","M418","Millennium High School","75 Broad Street, New York, New York, 10004","Bowling Green","A","9 to 12",95.5,9.6,3.26,,2,1,8,25,64,56,14,0.2,"Yes",,,"American Globe Theatre, Battery Dance, Epic Theatre, TDF, Tribeca Film Festival","Humanities & Interdisciplinary"
"Stage Doors","M413","School of the Future High School","127 E. 22nd St, New York, New York, 10010","Gramercy Park","B","6 to 12",91.4,17,2.72,,2,2,14,29,74,31,8,2.1,"Yes",,,"Hall Farm Center for Arts, The Community World Project","Humanities & Interdisciplinary"
"Stage Doors","M475","Stuyvesant High School","345 Chambers St., New York, New York, 10282","Tribeca","A","9 to 12",96.7,0.5,4.07,,2,1,8,25,66,30,12,0,"Yes",,,"Undisclosed","Science & Math"
"Open Doors","M519","Talent Unlimited High School (M519)","317 East 67 Street, New York, New York, 10065","Upper East Side","B","9 to 12",92.6,3.6,3.1,,2,5,14,26,65,45,10,0.2,"Yes",,,"Martha Graham Center of Contemporary Dance, Epic Theatre Ensemble, InterSchool Orchestras on New York, Western Wind Vocal Ensemble, The Sweet Plantines, Exploring the Arts Internship Program, Roundabout, Met, American Museum of Natural History, American Folk Art Museum","Performing Arts"
"Stage Doors","M519","Talent Unlimited High School","317 East 67 Street, New York, New York, 10065","Upper East Side","B","9 to 12",92.6,3.6,3.1,,2,5,14,26,65,45,10,0.2,"Yes",,,"Martha Graham Center of Contemporary Dance, Epic Theatre Ensemble, InterSchool Orchestras on New York, Western Wind Vocal Ensemble, The Sweet Plantines, Exploring the Arts Internship Program, Roundabout, Met, American Museum of Natural History, American Folk Art Museum","Performing Arts"
